PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed mm10_reduced_chr18_chr19.fa -gid -gtf mm10.reduced.refGene.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_57	chr18	4554481	4555584	+	0	NA	Intergenic	Intergenic	-79897	Jcad	Jcad	NM_001081963			Jcad			NA
Interval_2495	chr18	67973478	67973887	+	0	NA	intron (Ldlrad4, intron 1 of 5)	-intron (Ldlrad4, intron 1 of 5)	40509	Ldlrad4	Ldlrad4	NM_172631			Ldlrad4			NA
Interval_1942	chr18	56998841	56999187	+	0	NA	Intergenic	Intergenic	-23635	C330018D20Rik	C330018D20Rik	NM_029909			C330018D20Rik			NA
Interval_2320	chr18	64964969	64965625	+	0	NA	intron (Nedd4l, intron 1 of 30)	-intron (Nedd4l, intron 1 of 30)	-58230	Nedd4l	Nedd4l	NM_031881			Nedd4l			NA
Interval_1708	chr18	50127890	50128949	+	0	NA	intron (Hsd17b4, intron 1 of 23)	-intron (Hsd17b4, intron 1 of 23)	218	Hsd17b4	Hsd17b4	NM_008292			Hsd17b4			NA
Interval_1685	chr18	49877967	49878319	+	0	NA	exon (Dmxl1, exon 18 of 43)	-exon (Dmxl1, exon 18 of 43)	45146	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
Interval_892	chr18	28544366	28544757	+	0	NA	Intergenic	Intergenic	-15603	4930474G06Rik	4930474G06Rik	NR_045398			4930474G06Rik			NA
Interval_5053	chr19	37687003	37687702	+	0	NA	exon (Cyp26c1, exon 3 of 6)	-exon (Cyp26c1, exon 3 of 6)	1672	Cyp26c1	Cyp26c1	NM_001105201			Cyp26c1			NA
Interval_5610	chr19	47137090	47138616	+	0	NA	intron (Calhm2, intron 1 of 2)	-intron (Calhm2, intron 1 of 2)	441	Calhm2	Calhm2	NM_133746			Calhm2			NA
Interval_5096	chr19	38364021	38365151	+	0	NA	Intergenic	Intergenic	-31394	Slc35g1	Slc35g1	NM_175507			Slc35g1			NA
Interval_5231	chr19	41835574	41836406	+	0	NA	Intergenic	Intergenic	6020	Frat1	Frat1	NM_008043			Frat1			NA
Interval_2981	chr18	78048210	78048964	+	0	NA	exon (Siglec15, exon 3 of 6)	-exon (Siglec15, exon 3 of 6)	8854	Siglec15	Siglec15	NM_001101038			Siglec15			NA
Interval_1311	chr18	38374130	38374733	+	0	NA	Intergenic	Intergenic	-35438	Gnpda1	Gnpda1	NM_011937			Gnpda1			NA
Interval_604	chr18	20610902	20611597	+	0	NA	intron (Gm16090, intron 1 of 2)	-intron (Gm16090, intron 1 of 2)	53175	Dsg2	Dsg2	NM_007883			Dsg2			NA
Interval_1609	chr18	47065887	47066150	+	0	NA	intron (Commd10, intron 5 of 6)	-intron (Commd10, intron 5 of 6)	107142	Commd10	Commd10	NM_178377			Commd10			NA
Interval_3831	chr19	7416520	7418494	+	0	NA	promoter-TSS (2700081O15Rik)	-promoter-TSS (2700081O15Rik)	-118	2700081O15Rik	2700081O15Rik	NM_175381			2700081O15Rik			NA
Interval_1607	chr18	47020667	47020904	+	0	NA	intron (Commd10, intron 5 of 6)	-intron (Commd10, intron 5 of 6)	61909	Commd10	Commd10	NM_178377			Commd10			NA
Interval_2243	chr18	63211624	63212049	+	0	NA	intron (Piezo2, intron 3 of 53)	-intron (Piezo2, intron 3 of 53)	175347	Piezo2	Piezo2	NM_001039485			Piezo2			NA
Interval_1560	chr18	46360882	46361266	+	0	NA	Intergenic	Intergenic	-49146	Ccdc112	Ccdc112	NM_001160399			Ccdc112			NA
Interval_1893	chr18	55793305	55793641	+	0	NA	Intergenic	Intergenic	-638659	Gramd3	Gramd3	NM_001360917			Gramd3			NA
Interval_4142	chr19	14791685	14792051	+	0	NA	Intergenic	Intergenic	-193685	Tle4	Tle4	NM_001302947			Tle4			NA
Interval_1553	chr18	46311417	46312427	+	0	NA	promoter-TSS (Ccdc112)	-promoter-TSS (Ccdc112)	6	Ccdc112	Ccdc112	NM_001160399			Ccdc112			NA
Interval_1983	chr18	58052703	58054221	+	0	NA	intron (Fbn2, intron 40 of 64)	-intron (Fbn2, intron 40 of 64)	156464	Fbn2	Fbn2	NM_010181			Fbn2			NA
Interval_2670	chr18	71886257	71886499	+	0	NA	intron (Dcc, intron 2 of 28)	-intron (Dcc, intron 2 of 28)	464691	Dcc	Dcc	NM_007831			Dcc			NA
Interval_6094	chr19	57573600	57574072	+	0	NA	Intergenic	Intergenic	-37198	Atrnl1	Atrnl1	NM_181415			Atrnl1			NA
Interval_1358	chr18	38992416	38994034	+	0	NA	promoter-TSS (Arhgap26)	-promoter-TSS (Arhgap26)	80	Arhgap26	Arhgap26	NM_001374831			Arhgap26			NA
Interval_91	chr18	4982304	4982574	+	0	NA	Intergenic	Intergenic	-64150	Svil	Svil	NM_153153			Svil			NA
Interval_5194	chr19	41384706	41385392	+	0	NA	promoter-TSS (Pik3ap1)	-promoter-TSS (Pik3ap1)	53	Pik3ap1	Pik3ap1	NM_031376			Pik3ap1			NA
Interval_4151	chr19	15667974	15668880	+	0	NA	Intergenic	Intergenic	256632	Psat1	Psat1	NM_177420			Psat1			NA
Interval_4589	chr19	26728118	26728360	+	0	NA	intron (Smarca2, intron 27 of 32)	-intron (Smarca2, intron 27 of 32)	-20164	Smarca2	Smarca2	NM_011416			Smarca2			NA
Interval_1235	chr18	37089688	37090081	+	0	NA	promoter-TSS (Pcdhac1)	-promoter-TSS (Pcdhac1)	-252	Pcdhac1	Pcdhac1	NM_001003671			Pcdhac1			NA
Interval_6082	chr19	57452657	57453457	+	0	NA	exon (Trub1, exon 1 of 8)	-exon (Trub1, exon 1 of 8)	151	Trub1	Trub1	NM_028115			Trub1			NA
Interval_1588	chr18	46653503	46654373	+	0	NA	Intergenic	Intergenic	56234	Eif1a	Eif1a	NM_001374654			Eif1a			NA
Interval_3943	chr19	10015925	10016439	+	0	NA	intron (Rab3il1, intron 4 of 12)	-intron (Rab3il1, intron 4 of 12)	-2012	Rab3il1	Rab3il1	NM_144538			Rab3il1			NA
Interval_682	chr18	21735153	21736289	+	0	NA	Intergenic	Intergenic	-80708	Klhl14	Klhl14	NM_001081403			Klhl14			NA
Interval_5902	chr19	55127161	55127720	+	0	NA	promoter-TSS (Gpam)	-promoter-TSS (Gpam)	-27963	Gpam	Gpam	NM_001356285			Gpam			NA
Interval_5659	chr19	47659031	47659677	+	0	NA	intron (Col17a1, intron 32 of 52)	-intron (Col17a1, intron 32 of 53)	32688	Col17a1	Col17a1	NM_001290825			Col17a1			NA
Interval_5597	chr19	46929222	46929515	+	0	NA	intron (Nt5c2, intron 2 of 18)	-intron (Nt5c2, intron 2 of 17)	32983	Nt5c2	Nt5c2	NR_028353			Nt5c2			NA
Interval_5141	chr19	40477774	40478378	+	0	NA	intron (Sorbs1, intron 1 of 28)	-intron (Sorbs1, intron 2 of 23)	35660	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
Interval_440	chr18	13114382	13115014	+	0	NA	Intergenic	Intergenic	107708	Hrh4	Hrh4	NM_153087			Hrh4			NA
Interval_1253	chr18	37800755	37800980	+	0	NA	intron (Pcdhga12, intron 1 of 3)	-intron (Gm37013, intron 1 of 3)	-5543	Pcdhgc3	Pcdhgc3	NM_033581			Pcdhgc3			NA
Interval_2907	chr18	76532067	76532655	+	0	NA	Intergenic	Intergenic	290660	Smad2	Smad2	NM_001252481			Smad2			NA
Interval_5731	chr19	50603832	50604138	+	0	NA	intron (Sorcs1, intron 1 of 25)	-intron (Sorcs1, intron 1 of 25)	74661	Sorcs1	Sorcs1	NM_001360457			Sorcs1			NA
Interval_507	chr18	14988781	14990826	+	0	NA	intron (4933424G05Rik, intron 3 of 4)	-intron (Kctd1, intron 2 of 4)	808	4933424G05Rik	4933424G05Rik	NR_045372			4933424G05Rik			NA
Interval_4021	chr19	10723162	10723687	+	0	NA	intron (Cd5, intron 5 of 10)	-intron (Cd5, intron 5 of 10)	15550	Cd5	Cd5	NM_007650			Cd5			NA
Interval_612	chr18	20665061	20665686	+	0	NA	promoter-TSS (Gm16090)	-promoter-TSS (Gm16090)	-113	Gm16090	Gm16090	NR_155534			Gm16090			NA
Interval_2748	chr18	74471971	74473013	+	0	NA	intron (Myo5b, intron 1 of 38)	-intron (Myo5b, intron 1 of 38)	29873	Myo5b	Myo5b	NM_201600			Myo5b			NA
Interval_2986	chr18	78138076	78138588	+	0	NA	intron (Slc14a1, intron 1 of 8)	-intron (Slc14a1, intron 1 of 8)	-14906	Slc14a1	Slc14a1	NM_001171011			Slc14a1			NA
Interval_2505	chr18	68111785	68112009	+	0	NA	intron (Ldlrad4, intron 3 of 5)	-intron (Ldlrad4, intron 3 of 5)	149076	Mir7219	Mir7219	NR_106078			Mir7219			NA
Interval_4096	chr19	12591800	12592177	+	0	NA	intron (A330040F15Rik, intron 1 of 1)	-intron (A330040F15Rik, intron 1 of 1)	4578	A330040F15Rik	A330040F15Rik	NR_015503			A330040F15Rik			NA
Interval_6003	chr19	56319374	56319984	+	0	NA	TTS (Nrap)	-TTS (Nrap)	31767	Habp2	Habp2	NM_001329935			Habp2			NA
Interval_4585	chr19	26612757	26614059	+	0	NA	intron (Smarca2, intron 1 of 32)	-intron (Smarca2, intron 1 of 32)	-134995	Smarca2	Smarca2	NM_011416			Smarca2			NA
Interval_5529	chr19	46317978	46318197	+	0	NA	intron (Psd, intron 11 of 17)	-intron (Psd, intron 11 of 17)	9069	Psd	Psd	NM_028627			Psd			NA
Interval_680	chr18	21698603	21699316	+	0	NA	Intergenic	Intergenic	-43946	Klhl14	Klhl14	NM_001081403			Klhl14			NA
Interval_2630	chr18	70578041	70578564	+	0	NA	intron (Mbd2, intron 1 of 6)	-intron (Mbd2, intron 1 of 2)	10010	Mbd2	Mbd2	NM_001311071			Mbd2			NA
Interval_1190	chr18	36182998	36184034	+	0	NA	intron (Nrg2, intron 1 of 9)	-intron (Nrg2, intron 1 of 9)	13875	Nrg2	Nrg2	NM_001167891			Nrg2			NA
Interval_466	chr18	13886754	13887367	+	0	NA	intron (Zfp521, intron 3 of 7)	-intron (Zfp521, intron 3 of 7)	85673	Zfp521	Zfp521	NM_001360804			Zfp521			NA
Interval_4777	chr19	31097764	31098150	+	0	NA	intron (Prkg1, intron 3 of 17)	-intron (Prkg1, intron 3 of 17)	15116	Cstf2t	Cstf2t	NM_031249			Cstf2t			NA
Interval_1264	chr18	37879972	37880532	+	0	NA	intron (Diaph1, intron 16 of 26)	-intron (Diaph1, intron 17 of 27)	-25592	Mir6979	Mir6979	NR_105945			Mir6979			NA
Interval_5647	chr19	47463785	47465155	+	0	NA	promoter-TSS (Sh3pxd2a)	-promoter-TSS (Sh3pxd2a)	-59	Sh3pxd2a	Sh3pxd2a	NM_001164717			Sh3pxd2a			NA
Interval_1683	chr18	49832165	49833189	+	0	NA	promoter-TSS (Dmxl1)	-promoter-TSS (Dmxl1)	-320	Dmxl1	Dmxl1	NM_001081371			Dmxl1			NA
Interval_5701	chr19	48779095	48779714	+	0	NA	intron (Sorcs3, intron 20 of 26)	-intron (Sorcs3, intron 20 of 26)	573379	Sorcs3	Sorcs3	NM_025696			Sorcs3			NA
Interval_2270	chr18	63863691	63864560	+	0	NA	intron (Wdr7, intron 19 of 26)	-intron (Wdr7, intron 20 of 27)	155430	Wdr7	Wdr7	NM_001014981			Wdr7			NA
Interval_2043	chr18	60480938	60481785	+	0	NA	intron (Smim3, intron 1 of 1)	-intron (Smim3, intron 1 of 1)	20622	Smim3	Smim3	NM_134133			Smim3			NA
Interval_1453	chr18	42808648	42809068	+	0	NA	intron (Ppp2r2b, intron 1 of 8)	-intron (Ppp2r2b, intron 1 of 8)	90648	Ppp2r2b	Ppp2r2b	NR_073583			Ppp2r2b			NA
Interval_4902	chr19	34212742	34213523	+	0	NA	intron (Stambpl1, intron 1 of 10)	-intron (Stambpl1, intron 1 of 10)	20903	Stambpl1	Stambpl1	NM_001360720			Stambpl1			NA
Interval_4756	chr19	30371015	30371250	+	0	NA	Intergenic	Intergenic	138204	Mbl2	Mbl2	NM_001365058			Mbl2			NA
Interval_5018	chr19	37174033	37175048	+	0	NA	exon (Cpeb3, exon 2 of 11)	-exon (Cpeb3, exon 2 of 11)	697	A330032B11Rik	A330032B11Rik	NR_045329			A330032B11Rik			NA
Interval_1109	chr18	34988838	34989128	+	0	NA	Intergenic	Intergenic	-34632	Hspa9	Hspa9	NM_010481			Hspa9			NA
Interval_5581	chr19	46779119	46779798	+	0	NA	intron (Cnnm2, intron 1 of 7)	-intron (Cnnm2, intron 1 of 6)	17849	Cnnm2	Cnnm2	NM_033569			Cnnm2			NA
Interval_6203	chr19	59860919	59861168	+	0	NA	Intergenic	Intergenic	82611	Rab11fip2	Rab11fip2	NM_001033172			Rab11fip2			NA
Interval_587	chr18	20001792	20002404	+	0	NA	promoter-TSS (Dsc3)	-promoter-TSS (Dsc3)	-1	Dsc3	Dsc3	NM_007882			Dsc3			NA
Interval_2290	chr18	64491030	64491572	+	0	NA	Intergenic	Intergenic	-2203	Fech	Fech	NM_001348055			Fech			NA
Interval_2951	chr18	77704330	77705473	+	0	NA	intron (8030462N17Rik, intron 1 of 3)	-intron (8030462N17Rik, intron 1 of 3)	9086	8030462N17Rik	8030462N17Rik	NM_178670			8030462N17Rik			NA
Interval_2569	chr18	69469328	69469816	+	0	NA	intron (Tcf4, intron 5 of 19)	-intron (Tcf4, intron 5 of 19)	125080	Tcf4	Tcf4	NM_001361126			Tcf4			NA
Interval_3152	chr18	81901606	81902831	+	0	NA	Intergenic	Intergenic	89862	Mir5127	Mir5127	NR_039589			Mir5127			NA
Interval_2089	chr18	60901313	60901642	+	0	NA	Intergenic	Intergenic	-10514	Arsi	Arsi	NM_001038499			Arsi			NA
Interval_4454	chr19	23864031	23864305	+	0	NA	intron (Apba1, intron 1 of 12)	-intron (Apba1, intron 1 of 12)	105292	Apba1	Apba1	NM_177034			Apba1			NA
Interval_980	chr18	32311973	32312347	+	0	NA	Intergenic	Intergenic	-65057	Bin1	Bin1	NM_009668			Bin1			NA
Interval_203	chr18	7504153	7504555	+	0	NA	intron (Mpp7, intron 4 of 17)	-intron (Mpp7, intron 3 of 16)	103800	Mpp7	Mpp7	NM_001081287			Mpp7			NA
Interval_5368	chr19	44367002	44367246	+	0	NA	Intergenic	Intergenic	33798	Scd4	Scd4	NM_183216			Scd4			NA
Interval_5746	chr19	52078239	52078852	+	0	NA	Intergenic	Intergenic	-185752	Ins1	Ins1	NM_008386			Ins1			NA
Interval_1864	chr18	55142543	55142906	+	0	NA	Intergenic	Intergenic	-152544	Zfp608	Zfp608	NM_001360787			Zfp608			NA
Interval_1620	chr18	47321123	47321368	+	0	NA	intron (Sema6a, intron 1 of 18)	-intron (Sema6a, intron 1 of 17)	47623	Sema6a	Sema6a	NM_018744			Sema6a			NA
Interval_6054	chr19	57058946	57059418	+	0	NA	exon (Ablim1, exon 10 of 20)	-exon (Ablim1, exon 10 of 20)	-50607	Afap1l2	Afap1l2	NM_001177796			Afap1l2			NA
Interval_5603	chr19	46988195	46989308	+	0	NA	intron (Nt5c2, intron 1 of 17)	-intron (Nt5c2, intron 1 of 17)	-25930	Ina	Ina	NM_146100			Ina			NA
Interval_2288	chr18	64485542	64486321	+	0	NA	intron (Fech, intron 1 of 10)	-intron (Fech, intron 1 of 9)	3167	Fech	Fech	NM_001348055			Fech			NA
Interval_2455	chr18	67324254	67324828	+	0	NA	exon (B430212C06Rik, exon 2 of 4)	-exon (B430212C06Rik, exon 2 of 4)	-19023	Cidea	Cidea	NM_007702			Cidea			NA
Interval_4177	chr19	16140845	16141286	+	0	NA	intron (Gnaq, intron 1 of 6)	-intron (Gnaq, intron 1 of 6)	8381	Gnaq	Gnaq	NM_008139			Gnaq			NA
Interval_922	chr18	30529566	30530884	+	0	NA	Intergenic	Intergenic	257360	Pik3c3	Pik3c3	NR_151699			Pik3c3			NA
Interval_4935	chr19	34752451	34753221	+	0	NA	Intergenic	Intergenic	-5508	Slc16a12	Slc16a12	NM_172838			Slc16a12			NA
Interval_2130	chr18	61331688	61332254	+	0	NA	intron (Ppargc1b, intron 1 of 11)	-intron (Ppargc1b, intron 2 of 12)	65929	Mir378a	Mir378a	NR_029879			Mir378a			NA
Interval_5385	chr19	44514552	44514994	+	0	NA	TTS (Wnt8b)	-TTS (Wnt8b)	21301	Wnt8b	Wnt8b	NM_011720			Wnt8b			NA
Interval_4584	chr19	26605838	26607760	+	0	NA	intron (Smarca2, intron 1 of 32)	-intron (Smarca2, intron 1 of 32)	-141604	Smarca2	Smarca2	NM_011416			Smarca2			NA
Interval_6221	chr19	60171626	60171875	+	0	NA	Intergenic	Intergenic	27075	E330013P04Rik	E330013P04Rik	NR_026942			E330013P04Rik			NA
Interval_694	chr18	22045619	22046437	+	0	NA	intron (Ccdc178, intron 14 of 22)	-intron (Ccdc178, intron 14 of 22)	125368	Ccdc178	Ccdc178	NM_027616			Ccdc178			NA
Interval_6033	chr19	56800289	56802217	+	0	NA	exon (Ccdc186, exon 8 of 16)	-exon (Ccdc186, exon 8 of 16)	20946	Ccdc186	Ccdc186	NM_170757			Ccdc186			NA
Interval_1812	chr18	54253238	54253589	+	0	NA	Intergenic	Intergenic	-168882	Redrum	Redrum	NR_040338			Redrum			NA
Interval_3311	chr18	84588628	84590435	+	0	NA	promoter-TSS (Zfp407)	-promoter-TSS (Zfp407)	-27	Zfp407	Zfp407	NM_001033341			Zfp407			NA
Interval_4126	chr19	14390099	14390518	+	0	NA	Intergenic	Intergenic	45642	Gm8630	Gm8630	NR_152176			Gm8630			NA
Interval_5138	chr19	40442417	40442904	+	0	NA	intron (Sorbs1, intron 2 of 28)	-intron (Sorbs1, intron 1 of 22)	71076	Sorbs1	Sorbs1	NM_178362			Sorbs1			NA
Interval_1259	chr18	37835342	37836905	+	0	NA	intron (Pcdhgb8, intron 3 of 3)	-intron (Gm37013, intron 3 of 3)	16577	Pcdhgc5	Pcdhgc5	NM_033583			Pcdhgc5			NA
Interval_4708	chr19	29521694	29523431	+	0	NA	promoter-TSS (A930007I19Rik)	-promoter-TSS (A930007I19Rik)	280	Ric1	Ric1	NM_001081319			Ric1			NA
Interval_2564	chr18	69404899	69405130	+	0	NA	intron (Tcf4, intron 3 of 19)	-intron (Tcf4, intron 3 of 19)	60522	Tcf4	Tcf4	NM_001361126			Tcf4			NA
Interval_3919	chr19	9110235	9110692	+	0	NA	Intergenic	Intergenic	-22507	Scgb1a1	Scgb1a1	NM_011681			Scgb1a1			NA
Interval_574	chr18	17399712	17400664	+	0	NA	Intergenic	Intergenic	-164706	4921533I20Rik	4921533I20Rik	NR_033607			4921533I20Rik			NA
Interval_2395	chr18	66162242	66162479	+	0	NA	intron (Ccbe1, intron 2 of 10)	-intron (Ccbe1, intron 2 of 10)	56973	Mir694	Mir694	NR_030467			Mir694			NA
Interval_733	chr18	23549837	23550734	+	0	NA	intron (Dtna, intron 4 of 20)	-intron (Dtna, intron 5 of 24)	134876	Dtna	Dtna	NM_001361215			Dtna			NA
Interval_1522	chr18	44593543	44593807	+	0	NA	intron (Mcc, intron 3 of 18)	-intron (Mcc, intron 3 of 18)	-67990	A930012L18Rik	A930012L18Rik	NR_026853			A930012L18Rik			NA
Interval_5710	chr19	49314239	49314635	+	0	NA	Intergenic	Intergenic	1108412	Sorcs3	Sorcs3	NM_025696			Sorcs3			NA
Interval_865	chr18	25667728	25668573	+	0	NA	intron (Celf4, intron 2 of 13)	-intron (Celf4, intron 2 of 12)	86007	Celf4	Celf4	NM_001362278			Celf4			NA
Interval_1595	chr18	46721950	46722468	+	0	NA	intron (Cdo1, intron 2 of 4)	-intron (Cdo1, intron 2 of 4)	6293	Cdo1	Cdo1	NM_033037			Cdo1			NA
Interval_605	chr18	20616910	20617419	+	0	NA	intron (Gm16090, intron 1 of 2)	-intron (Gm16090, intron 1 of 2)	-48086	Ttr	Ttr	NM_013697			Ttr			NA
Interval_375	chr18	12092251	12092488	+	0	NA	intron (Tmem241, intron 4 of 15)	-intron (Tmem241, intron 4 of 14)	29168	Tmem241	Tmem241	NM_178801			Tmem241			NA
Interval_5170	chr19	40962856	40963440	+	0	NA	intron (Blnk, intron 4 of 16)	-intron (Blnk, intron 4 of 16)	31073	Blnk	Blnk	NM_001365054			Blnk			NA
Interval_1717	chr18	50726574	50726948	+	0	NA	Intergenic	Intergenic	-158062	Pudp	Pudp	NM_026108			Pudp			NA
Interval_3979	chr19	10326593	10326863	+	0	NA	Intergenic	Intergenic	-21851	Dagla	Dagla	NM_198114			Dagla			NA
Interval_5078	chr19	38053903	38055406	+	0	NA	promoter-TSS (Cep55)	-promoter-TSS (Cep55)	-387	Cep55	Cep55	NM_028293			Cep55			NA
Interval_6231	chr19	60560604	60560970	+	0	NA	intron (Cacul1, intron 3 of 8)	-intron (Cacul1, intron 3 of 7)	20236	Cacul1	Cacul1	NM_001172096			Cacul1			NA
Interval_261	chr18	9405920	9406447	+	0	NA	intron (Ccny, intron 1 of 9)	-intron (Ccny, intron 1 of 9)	43971	Ccny	Ccny	NM_026484			Ccny			NA
Interval_765	chr18	23996856	23997163	+	0	NA	intron (Zfp35, intron 2 of 2)	-intron (Zfp35, intron 2 of 2)	7375	Zfp35	Zfp35	NM_011755			Zfp35			NA
Interval_706	chr18	22370170	22370391	+	0	NA	intron (Asxl3, intron 1 of 12)	-intron (Asxl3, intron 1 of 12)	25191	Asxl3	Asxl3	NM_001167777			Asxl3			NA
Interval_3910	chr19	8992849	8993084	+	0	NA	intron (Ahnak, intron 1 of 6)	-intron (Ahnak, intron 1 of 5)	3682	Ahnak	Ahnak	NM_001039959			Ahnak			NA
Interval_4916	chr19	34496212	34496858	+	0	NA	intron (Lipa, intron 8 of 9)	-intron (Lipa, intron 8 of 9)	-21387	Ch25h	Ch25h	NM_009890			Ch25h			NA
Interval_2354	chr18	65496854	65498019	+	0	NA	intron (Mir466p, intron 3 of 6)	-intron (Mir466p, intron 3 of 6)	66446	Malt1	Malt1	NM_001365019			Malt1			NA
Interval_4864	chr19	32637018	32638132	+	0	NA	intron (Papss2, intron 3 of 12)	-intron (Papss2, intron 3 of 11)	17570	Papss2	Papss2	NM_001360403			Papss2			NA
Interval_3647	chr19	5636863	5638108	+	0	NA	promoter-TSS (Rela)	-promoter-TSS (Rela)	-56	Rela	Rela	NM_001365067			Rela			NA
Interval_431	chr18	13004580	13005119	+	0	NA	Intergenic	Intergenic	-2141	Hrh4	Hrh4	NM_153087			Hrh4			NA
Interval_4866	chr19	32653214	32653595	+	0	NA	intron (Papss2, intron 9 of 12)	-intron (Papss2, intron 8 of 11)	33399	Papss2	Papss2	NM_001360403			Papss2			NA
Interval_3271	chr18	83967140	83968010	+	0	NA	Intergenic	Intergenic	118890	Tshz1	Tshz1	NM_001364993			Tshz1			NA
Interval_1975	chr18	57854310	57855028	+	0	NA	Intergenic	Intergenic	-24009	Slc12a2	Slc12a2	NM_009194			Slc12a2			NA
Interval_2485	chr18	67749200	67749519	+	0	NA	Intergenic	Intergenic	-24738	Ptpn2	Ptpn2	NM_001127177			Ptpn2			NA
Interval_2660	chr18	71456733	71457157	+	0	NA	exon (Dcc, exon 13 of 29)	-exon (Dcc, exon 13 of 29)	888653	Mbd2	Mbd2	NM_001311071			Mbd2			NA
Interval_2614	chr18	70375665	70376264	+	0	NA	Intergenic	Intergenic	-96490	Stard6	Stard6	NM_001289648			Stard6			NA
Interval_3520	chr19	4154607	4155101	+	0	NA	TTS (Coro1b)	-TTS (Coro1b)	208	Ptprcap	Ptprcap	NM_016933			Ptprcap			NA
Interval_1981	chr18	58027694	58028148	+	0	NA	exon (Fbn2, exon 56 of 65)	-exon (Fbn2, exon 56 of 65)	149243	Slc12a2	Slc12a2	NM_009194			Slc12a2			NA
Interval_4999	chr19	36815653	36816243	+	0	NA	Intergenic	Intergenic	-18284	Tnks2	Tnks2	NM_001163635			Tnks2			NA
Interval_1964	chr18	57570358	57570944	+	0	NA	intron (Ccdc192, intron 3 of 6)	-intron (Ccdc192, intron 3 of 5)	-18784	4930511M06Rik	4930511M06Rik	NR_027945			4930511M06Rik			NA
Interval_3010	chr18	78483269	78483561	+	0	NA	intron (Slc14a2, intron 2 of 21)	-intron (Slc14a2, intron 2 of 11)	113535	Slc14a2	Slc14a2	NM_001110273			Slc14a2			NA
Interval_4488	chr19	24452326	24452980	+	0	NA	intron (Pip5k1b, intron 1 of 14)	-intron (Pip5k1b, intron 1 of 14)	24821	Fam122a	Fam122a	NM_026520			Fam122a			NA
Interval_3884	chr19	8798203	8798903	+	0	NA	promoter-TSS (Polr2g)	-promoter-TSS (Polr2g)	4	Polr2g	Polr2g	NM_026329			Polr2g			NA
Interval_4915	chr19	34474521	34475820	+	0	NA	promoter-TSS (Ch25h)	-promoter-TSS (Ch25h)	-22	Ch25h	Ch25h	NM_009890			Ch25h			NA
Interval_5538	chr19	46396665	46397421	+	0	NA	exon (Sufu, exon 1 of 12)	-exon (Sufu, exon 1 of 12)	147	Sufu	Sufu	NM_001025391			Sufu			NA
Interval_3916	chr19	9066031	9066566	+	0	NA	intron (Ahnak, intron 6 of 6)	-intron (Ahnak, intron 5 of 5)	21658	Scgb1a1	Scgb1a1	NM_011681			Scgb1a1			NA
Interval_2355	chr18	65506736	65507373	+	0	NA	intron (Mir466p, intron 3 of 6)	-intron (Mir466p, intron 3 of 6)	-73176	Zfp532	Zfp532	NM_207255			Zfp532			NA
Interval_500	chr18	14893015	14893294	+	0	NA	intron (Taf4b, intron 13 of 13)	-intron (Taf4b, intron 14 of 14)	-95841	4933424G05Rik	4933424G05Rik	NR_045372			4933424G05Rik			NA
Interval_4313	chr19	18774043	18774345	+	0	NA	intron (Trpm6, intron 2 of 38)	-intron (Trpm6, intron 2 of 38)	24464	Trpm6	Trpm6	NR_157571			Trpm6			NA
Interval_1134	chr18	35498223	35499254	+	0	NA	intron (Sil1, intron 1 of 9)	-intron (Sil1, intron 1 of 9)	187	Sil1	Sil1	NM_001360814			Sil1			NA
Interval_4985	chr19	36646300	36646876	+	0	NA	intron (Hectd2os, intron 2 of 4)	-intron (Hectd2os, intron 2 of 4)	42891	Hectd2os	Hectd2os	NR_033510			Hectd2os			NA
Interval_2775	chr18	74959085	74959448	+	0	NA	intron (Lipg, intron 1 of 9)	-intron (Lipg, intron 1 of 9)	1997	Lipg	Lipg	NM_010720			Lipg			NA
Interval_2330	chr18	65083142	65083421	+	0	NA	intron (Nedd4l, intron 4 of 29)	-intron (Nedd4l, intron 5 of 30)	59754	Nedd4l	Nedd4l	NM_031881			Nedd4l			NA
Interval_5515	chr19	46055957	46057577	+	0	NA	intron (Pprc1, intron 1 of 13)	-intron (Pprc1, intron 1 of 13)	228	Pprc1	Pprc1	NM_001346801			Pprc1			NA
Interval_4632	chr19	28171907	28172422	+	0	NA	Intergenic	Intergenic	-160998	Rfx3	Rfx3	NM_001360358			Rfx3			NA
Interval_6023	chr19	56592604	56592937	+	0	NA	intron (Nhlrc2, intron 8 of 10)	-intron (Nhlrc2, intron 8 of 10)	44509	Nhlrc2	Nhlrc2	NM_025811			Nhlrc2			NA
Interval_2392	chr18	66083710	66084106	+	0	NA	intron (Ccbe1, intron 4 of 10)	-intron (Ccbe1, intron 4 of 10)	-81273	Lman1	Lman1	NM_027400			Lman1			NA
Interval_1968	chr18	57698150	57698606	+	0	NA	intron (Ccdc192, intron 6 of 6)	-intron (Ccdc192, intron 5 of 5)	-59793	2210409D07Rik	2210409D07Rik	NR_045360			2210409D07Rik			NA
